Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status
T0001,2024-08-02,C2205,Headphones,-5.0,$420.21,pay pal,
T0002,2020-02-10,C3156,Coffee ,469.0,-445.34202525395585,creditcard,Pending
T0003,2025-02-30,C2919,Tablet,-4.0,810.9930123946459,credit card,completed
T0004,2020-08-17,C3009,Tab,-7.0,868.6083413217348,PayPal,Pending
T0005,2025-02-30,C3488,Coffee Machine,-10.0,-763.1224490039416,PayPal,completed
T0006,2021-10-26,C4241,Smartphone,598.0,,PayPal,Completed
,2025-02-30,C1313,Laptop,10.0,,credit card,Completed
T0008,2023-13-01,C4736,Headphones,669.0,-86.92126929493884,Cash,
T0009,,C3387,Tablet,10.0,461.70198437439694,PayPal,
T0010,2025-02-30,C2846,Laptop,-1.0,404.8907066405689,creditcard,Pending
T0011,2023-13-01,C1004,Laptop,10.0,-600.8393093751704,PayPal ,complete
T0012,2023-13-01,C2912,Tablet,608.0,,PayPal ,completed
T0013,2020-03-18,C1692,Smartphone,564.0,,Cash,Completed
T0014,2020-06-19,C2992,Coffee Machine,696.0,905.5147299335418,creditcard,Failed
T0015,2025-02-30,C3879,Headphones,-2.0,523.8427581553709,credit card,Pending
T0016,2025-02-30,C2837,Laptop,-3.0,,creditcard,Pending
T0017,2020-07-07,C3776,Smartphone,236.0,-94.55726526729006,credit card,Pending
T0018,2025-02-30,C847,Coffee Ma,7.0,-108.43782406112234,credit card,complete
T0019,2024-02-19,C4871,Smartphone,,,pay pal,Pending
T0020,2025-02-30,C1924,Headphones,-6.0,,pay pal,
T0021,2025-02-30,C1137,Coffee Machine,856.0,-488.8626491104135,Credit Card,Failed
T0022,2023-13-01,C3883,Smartphone,9.0,,creditcard,Completed
T0023,2025-02-30,C4877,Tablet,538.0,-733.8292284642129,PayPal ,complete
T0024,2023-11-03,C828,Coffee Machine,487.0,,Cash,
T0025,2022-11-18,C4985,Tablet,114.0,276.93632041675164,PayPal,
T0026,2020-01-01,C1096,Cof,654.0,,PayPal ,complete
T73466,2025-02-30,C2702,Coffee Machine,-5.0,555.6133483579025,creditcard,complete
T0028,2025-02-30,C3025,Smar,7.0,$797.34,PayPal,complete
